event_id,game_id,inning,batting_team_id,home_away,outs,balls,strikes,pitch_sequence,away_score,home_score,batter_id,batter_hand,responsible_batter_id,responsible_batter_hand,batter_lineup_position,batter_fielding_position,pitcher_id,pitcher_hand,responsible_pitcher_id,responsible_pitcher_hand,fielder_2_id,fielder_3_id,fielder_4_id,fielder_5_id,fielder_6_id,fielder_7_id,fielder_8_id,fielder_9_id,runner_1_id,runner_2_id,runner_3_id,event_text,event_code,event_outs,ab_flag,hit_code,rbi,leadoff_flag,pinch_hit_flag,sacrifice_hit_flag,sacrifice_fly_flag,double_play_flag,triple_play_flag,wild_pitch_flag,passed_ball_flag,bunt_flag,foul_flag,batted_ball_code,batted_ball_location,fielding_code,errors,error_1_fielder,error_1_type,error_2_fielder,error_2_type,error_3_fielder,error_3_type,batter_dest,runner_1_dest,runner_2_dest,runner_3_dest,runner_1_stolen_base,runner_2_stolen_base,runner_3_stolen_base,runner_1_caught_stealing,runner_2_caught_stealing,runner_3_caught_stealing,batter_play_text,runner_1_play_text,runner_2_play_text,runner_3_play_text,putout_1_fielder,putout_2_fielder,putout_3_fielder,assist_1_fielder,assist_2_fielder,assist_3_fielder,assist_4_fielder,assist_5_fielder,game_new_flag,game_end_flag,created_at
15629546,NYA202305240,5,BAL,H,0,3,0,BBBB,1,2,volpa001,R,volpa001,R,7,6,wellt003,R,wellt003,R,mccaj001,mounr001,fraza001,ortij005,matej003,haysa001,mullc002,santa003,,,,W,14,0,F,0,0,T,F,F,F,F,F,F,F,F,F,"","",0,0,0,,0,,0,,1,0,0,0,F,F,F,F,F,F,"","","","",0,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15629559,NYA202305240,6,BAL,H,2,3,2,BCFBBX,1,5,volpa001,R,volpa001,R,7,6,baumm001,R,baumm001,R,mccaj001,mounr001,fraza001,ortij005,matej003,haysa001,mullc002,santa003,,,,63/G6,2,1,T,0,0,F,F,F,F,F,F,F,F,F,F,G,6,6,0,0,,0,,0,,0,0,0,0,F,F,F,F,F,F,63,"","","",3,0,0,6,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15629585,NYA202305240,8,BAL,H,1,0,2,CFS,9,6,volpa001,R,volpa001,R,7,6,could001,L,could001,L,mccaj001,mounr001,fraza001,hendg002,matej003,haysa001,mullc002,santa003,,,,K,3,1,T,0,0,F,F,F,F,F,F,F,F,F,F,"","",0,0,0,,0,,0,,0,0,0,0,F,F,F,F,F,F,2,"","","",2,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15629609,NYA202305250,2,BAL,H,2,0,1,FX,0,0,volpa001,R,volpa001,R,6,6,gibsk002,R,gibsk002,R,rutsa001,ohear001,fraza001,hendg002,matej003,haysa001,mcker001,santa003,,,,53/G5S,2,1,T,0,0,F,F,F,F,F,F,F,F,F,F,G,5S,5,0,0,,0,,0,,0,0,0,0,F,F,F,F,F,F,53,"","","",3,0,0,5,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15629627,NYA202305250,4,BAL,H,2,3,1,*BFBBX,0,0,volpa001,R,volpa001,R,6,6,gibsk002,R,gibsk002,R,rutsa001,ohear001,fraza001,hendg002,matej003,haysa001,mcker001,santa003,calhw001,badeh001,,6(1)/FO/G6.B-1,2,1,T,0,0,F,F,F,F,F,F,F,F,F,F,G,6,6,0,0,,0,,0,,1,0,2,0,F,F,F,F,F,F,"",6,"","",6,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15629649,NYA202305250,7,BAL,H,0,0,2,CTFT,1,0,volpa001,R,volpa001,R,6,6,gibsk002,R,gibsk002,R,rutsa001,ohear001,fraza001,hendg002,matej003,haysa001,mcker001,santa003,calhw001,,,K,3,1,T,0,0,F,F,F,F,F,F,F,F,F,F,"","",0,0,0,,0,,0,,0,1,0,0,F,F,F,F,F,F,2,"","","",2,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15629667,NYA202305250,9,BAL,H,2,0,0,X,3,1,volpa001,R,volpa001,R,6,6,canoy001,R,canoy001,R,rutsa001,ohear001,fraza001,hendg002,matej003,haysa001,mcker001,santa003,,calhw001,,8/L89D,2,1,T,0,0,F,F,F,F,F,F,F,F,F,F,L,89D,8,0,0,,0,,0,,0,0,2,0,F,F,F,F,F,F,8,"","","",8,0,0,0,0,0,0,0,F,T,2026-01-21 17:01:53.227175
15629687,NYA202305260,3,SDN,H,0,0,1,CX,0,0,volpa001,R,volpa001,R,7,6,musgj001,R,musgj001,R,nolaa002,dixob001,cronj001,odorr001,bogax001,sotoj001,grist001,tatif002,,,,9/L9,2,1,T,0,0,T,F,F,F,F,F,F,F,F,F,L,9,9,0,0,,0,,0,,0,0,0,0,F,F,F,F,F,F,9,"","","",9,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15629707,NYA202305260,5,SDN,H,1,2,2,FBFBS,2,0,volpa001,R,volpa001,R,7,6,musgj001,R,musgj001,R,nolaa002,dixob001,cronj001,odorr001,bogax001,sotoj001,grist001,tatif002,,,,K,3,1,T,0,0,F,F,F,F,F,F,F,F,F,F,"","",0,0,0,,0,,0,,0,0,0,0,F,F,F,F,F,F,2,"","","",2,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15629725,NYA202305260,7,SDN,H,1,0,1,LX,4,1,volpa001,R,volpa001,R,7,6,musgj001,R,musgj001,R,nolaa002,dixob001,cronj001,odorr001,bogax001,sotoj001,grist001,tatif002,calhw001,,,S5/G25-.1-2,20,0,T,1,0,F,F,F,F,F,F,F,F,F,F,G,25,5,0,0,,0,,0,,1,2,0,0,F,F,F,F,F,F,"","","","",0,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
